553.0,338.0,577.0,357.0,235,235,0
5
-160.0,-61.0,696.0,388.0,0.0,0.0,0.0
370.0,-61.0,1362.0,315.0,0.0,0.0,0.0
-160.0,283.0,624.0,838.0,0.0,0.0,0.0
364.0,197.0,1439.0,834.0,0.0,0.0,0.0
-160.0,-61.0,171.0,148.0,0.0,0.0,0.0
5000,540.0,27.0
0
336
-69.0,-7.0,423.0,102.0,253.0,85.0,3.0,false
660.0,-1.0,1099.0,109.0,253.0,85.0,3.0,false
-160.0,-61.0,429.0,111.0,253.0,85.0,3.0,false
-33.0,596.0,422.0,699.0,253.0,85.0,3.0,false
697.0,581.0,1098.0,699.0,253.0,85.0,3.0,false
-139.0,58.0,100.0,647.0,253.0,85.0,3.0,false
1023.0,-18.0,1099.0,606.0,253.0,85.0,3.0,false
1014.0,67.0,1066.0,605.0,253.0,85.0,3.0,false
405.0,232.0,423.0,476.0,253.0,85.0,3.0,false
405.0,460.0,720.0,478.0,253.0,85.0,3.0,false
699.0,223.0,720.0,478.0,253.0,85.0,3.0,false
405.0,227.0,510.0,252.0,253.0,85.0,3.0,false
639.0,223.0,718.0,249.0,253.0,85.0,3.0,false
478.0,87.0,657.0,106.0,250.0,3.0,42.0,true
478.0,112.0,505.0,219.0,250.0,3.0,42.0,true
275.0,229.0,399.0,250.0,250.0,3.0,42.0,true
175.0,113.0,196.0,225.0,250.0,3.0,42.0,true
102.0,382.0,244.0,405.0,250.0,3.0,42.0,true
142.0,265.0,304.0,289.0,250.0,3.0,42.0,true
206.0,326.0,225.0,374.0,250.0,3.0,42.0,true
285.0,299.0,307.0,452.0,250.0,3.0,42.0,true
315.0,355.0,361.0,383.0,250.0,3.0,42.0,true
280.0,113.0,309.0,171.0,250.0,3.0,42.0,true
165.0,450.0,275.0,462.0,250.0,3.0,42.0,true
99.0,515.0,191.0,530.0,250.0,3.0,42.0,true
238.0,467.0,258.0,554.0,250.0,3.0,42.0,true
315.0,490.0,337.0,594.0,250.0,3.0,42.0,true
347.0,423.0,361.0,499.0,250.0,3.0,42.0,true
429.0,528.0,628.0,541.0,250.0,3.0,42.0,true
526.0,480.0,550.0,505.0,250.0,3.0,42.0,true
461.0,546.0,475.0,656.0,250.0,3.0,42.0,true
515.0,571.0,540.0,698.0,250.0,3.0,42.0,true
582.0,544.0,591.0,673.0,250.0,3.0,42.0,true
594.0,502.0,618.0,526.0,250.0,3.0,42.0,true
630.0,643.0,696.0,655.0,250.0,3.0,42.0,true
594.0,586.0,650.0,604.0,250.0,3.0,42.0,true
699.0,514.0,720.0,578.0,250.0,3.0,42.0,true
721.0,440.0,861.0,452.0,250.0,3.0,42.0,true
785.0,459.0,799.0,530.0,250.0,3.0,42.0,true
806.0,511.0,970.0,526.0,250.0,3.0,42.0,true
